State_UT,Fiscal Year,Scheme,Scheme Description,Estimate,Value,Unit
Kerala,2018-19,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,50.0,In Rs. Crores
Kerala,2018-19,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Revised Estimates,45.0,In Rs. Crores
Kerala,2018-19,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Actuals,48.9,In Rs. Crores
Kerala,2019-20,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,75.0,In Rs. Crores
Kerala,2019-20,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Revised Estimates,45.0,In Rs. Crores
Kerala,2019-20,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Actuals,34.3,In Rs. Crores
Kerala,2020-21,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,75.0,In Rs. Crores
Kerala,2020-21,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Revised Estimates,84.2,In Rs. Crores
Kerala,2020-21,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Actuals,104.0,In Rs. Crores
Kerala,2021-22,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,100.0,In Rs. Crores
Kerala,2021-22,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Revised Estimates,100.0,In Rs. Crores
Kerala,2021-22,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Actuals,100.0,In Rs. Crores
Kerala,2022-23,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,125.0,In Rs. Crores
Kerala,2022-23,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Revised Estimates,100.0,In Rs. Crores
Kerala,2023-24,Ayyankali Urban Employment Guarantee Scheme,Under this scheme a web-based Management Information System (MIS) connecting all Urban Local Governments and Office of the Urban Directorate is established and operationalised. This will provide single point access to all stakeholders and capture all information beginning with the registration of the workers. This will help in the effective implementation monitoring and evaluation of the programme and thus ensures transparency and credibility.,Budget Estimates,150.0,In Rs. Crores
Kerala,2015-16,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,13.0,In Rs. Crores
Kerala,2015-16,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,13.0,In Rs. Crores
Kerala,2015-16,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,28.0,In Rs. Crores
Kerala,2016-17,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,18.0,In Rs. Crores
Kerala,2016-17,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,18.0,In Rs. Crores
Kerala,2016-17,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,18.0,In Rs. Crores
Kerala,2017-18,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,20.0,In Rs. Crores
Kerala,2017-18,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,20.0,In Rs. Crores
Kerala,2017-18,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,19.8,In Rs. Crores
Kerala,2018-19,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,18.0,In Rs. Crores
Kerala,2018-19,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,15.0,In Rs. Crores
Kerala,2018-19,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,17.6,In Rs. Crores
Kerala,2019-20,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,17.8,In Rs. Crores
Kerala,2019-20,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,17.8,In Rs. Crores
Kerala,2019-20,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,14.7,In Rs. Crores
Kerala,2020-21,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,17.0,In Rs. Crores
Kerala,2020-21,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,4.0,In Rs. Crores
Kerala,2020-21,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,17.0,In Rs. Crores
Kerala,2021-22,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,17.0,In Rs. Crores
Kerala,2021-22,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,9.0,In Rs. Crores
Kerala,2021-22,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Actuals,45.0,In Rs. Crores
Kerala,2022-23,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,17.0,In Rs. Crores
Kerala,2022-23,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Revised Estimates,9.0,In Rs. Crores
Kerala,2023-24,Snehapoorvam,The Snehapoorvam scheme aims to identify orphaned children in the community. It aims to assess and prioritize children in the greatest need to provide social protection to highly vulnerable groups of orphans by strengthening traditional family and community systems for protecting and absorbing orphans. Additionally it seeks to improve basic education social integration and nutrition of the most vulnerable groups of orphans.,Budget Estimates,17.0,In Rs. Crores
Kerala,2015-16,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,NA,In Rs. Crores
Kerala,2015-16,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,NA,In Rs. Crores
Kerala,2015-16,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,48.0,In Rs. Crores
Kerala,2016-17,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,58.0,In Rs. Crores
Kerala,2016-17,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,59.0,In Rs. Crores
Kerala,2016-17,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,61.0,In Rs. Crores
Kerala,2017-18,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,70.0,In Rs. Crores
Kerala,2017-18,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,70.0,In Rs. Crores
Kerala,2017-18,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,69.0,In Rs. Crores
Kerala,2018-19,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,71.0,In Rs. Crores
Kerala,2018-19,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,71.0,In Rs. Crores
Kerala,2018-19,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,72.0,In Rs. Crores
Kerala,2019-20,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,78.0,In Rs. Crores
Kerala,2019-20,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,70.0,In Rs. Crores
Kerala,2019-20,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,69.0,In Rs. Crores
Kerala,2020-21,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,73.0,In Rs. Crores
Kerala,2020-21,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,62.0,In Rs. Crores
Kerala,2020-21,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,61.0,In Rs. Crores
Kerala,2021-22,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,93.0,In Rs. Crores
Kerala,2021-22,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,99.0,In Rs. Crores
Kerala,2022-23,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,93.0,In Rs. Crores
Kerala,2021-22,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Actuals,99.0,In Rs. Crores
Kerala,2022-23,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,93.0,In Rs. Crores
Kerala,2022-23,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Revised Estimates,85.0,In Rs. Crores
Kerala,2023-24,Grain Supply Scheme,"Under this scheme, 10 Kgs of food grains is distributed per month free of cost to the destitute above the age of 65 years with no or meager subsistence. The Government of India fixed the target at 52215, being 20% of the number of persons who are eligible for National Old Age Pension, but not getting the pension for some reasons. The scheme is implemented in the State with effect from 14-2-2001.",Budget Estimates,NA,In Rs. Crores
Karnataka,2015-16,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Budget Estimates,NA,In Rs. Crores
Karnataka,2015-16,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Revised Estimates,NA,In Rs. Crores
Karnataka,2015-16,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Actuals,381.8,In Rs. Crores
Karnataka,2016-17,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Budget Estimates,822.5,In Rs. Crores
Karnataka,2016-17,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Revised Estimates,822.5,In Rs. Crores
Karnataka,2016-17,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Actuals,822.5,In Rs. Crores
Karnataka,2017-18,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Budget Estimates,678.0,In Rs. Crores
Karnataka,2017-18,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Revised Estimates,678.0,In Rs. Crores
Karnataka,2017-18,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Actuals,812.0,In Rs. Crores
Karnataka,2018-19,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Budget Estimates,839.8,In Rs. Crores
Karnataka,2018-19,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Revised Estimates,839.8,In Rs. Crores
Karnataka,2018-19,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Actuals,1339.8,In Rs. Crores
Karnataka,2019-20,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Budget Estimates,750.3,In Rs. Crores
Karnataka,2019-20,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Revised Estimates,921.9,In Rs. Crores
Karnataka,2019-20,Dr. B.R.Ambedkar Nivas Scheme,The Karnataka government launched Dr. B.R. Ambedkar Nivasa scheme for building houses for the families belonging to the Scheduled Castes and Scheduled Tribes in 2015.Under the scheme an assistance of Rs. 1.5 lakh is given for building houses in rural areas and Rs. 1.8 lakh in urban areas. The scheme is being launched with an aim to make Karnataka a hut-free state.,Actuals,1076.6,In Rs. Crores
